Id,recommendations
100436,"[85942, 92602, 96203, 97766, 98748]"
114187,"[99969, 97890, 96567, 117180, 110558]"
109000,"[110225, 101999, 105881, 133510, 111815]"
112745,"[103425, 94413, 109958, 100762, 103445]"
113710,"[115110, 112322, 113240, 111737]"
113246,"[105213, 98161, 99335, 82816, 78903]"
108298,"[105664, 110193, 111156, 111052, 114053]"
108987,"[105664, 110193, 111156, 111052, 114053]"
88713,"[113473, 104022, 102477, 98830, 93781]"
106978,"[114365, 108173, 95791, 226413]"
110222,"[99799, 99609, 234423, 208846, 139635]"
100617,"[98494, 99777, 94199, 95599, 117682]"
114021,"[98730, 114763, 114046, 97401, 111586]"
111647,"[118177, 111086, 97428, 215647, 105305]"
99047,"[113473, 104022, 102477, 98830, 93781]"
99779,"[99778, 107257, 105797, 106138]"
88987,"[93826, 98178, 89233, 98510, 83125]"
109629,"[101243, 114395, 99610, 100897, 104877]"
117638,"[104201, 108280, 107128, 102085]"
103511,"[90999, 96316, 105211, 107124]"
81354,"[99509, 97082, 105213, 113246]"
94167,"[93785, 80986, 87689, 99385, 99807]"
104555,"[96005, 92137, 102970, 99119]"
104229,"[103711, 83050, 99385, 81292]"
99048,"[96161, 106465, 112538, 96462, 102596]"
94541,"[102432, 117682, 94199, 98748]"
102871,"[98034, 96884, 99777, 92592]"
87846,"[83125, 98178, 102871, 99995, 98034]"
106753,"[107888, 100918, 97543, 105034, 124747]"
105213,"[98161, 99335, 82816, 78903]"
97782,"[99084, 92685, 102086, 99080]"
91545,"[100010, 85853, 113367, 100729, 98161]"
106081,"[105664, 110193, 111156, 111052, 114053]"
90812,"[91239, 103913, 102278, 101881, 102904]"
112951,"[105844, 225174, 101735, 104999, 114992]"
99910,"[92602, 102285, 93593, 98867, 92586]"
99494,"[83851, 106524, 98793, 111761]"
85964,"[93831, 99119, 102970, 113828, 96005]"
108303,"[107543, 110818, 106754, 106195]"
101972,"[111111, 94404, 105644, 97860, 102432]"
99480,"[113268, 93782, 105214, 97609, 79622]"
94359,"[107408, 96860, 95346, 99109]"
120161,"[100918, 107888, 106753, 122034, 113335]"
100074,"[87689, 80986, 88987, 82816, 78903]"
111597,"[114365, 108173, 106978, 95791, 226413]"
95731,"[102638, 98983, 98805, 107128, 104201]"
106727,"[107112, 106418, 105579, 234278, 115553]"
99995,"[102871, 98034, 96884, 99777, 92592]"
110512,"[101750, 101090, 104399, 101255, 103966]"
124747,"[104752, 101396, 97266, 139221]"
111625,"[84896, 96734, 107363, 98308]"
