id,recommendations
21,"[16276, 13989, 59859, 89, 331727, 551, 85, 24, 8195, 23483]"
28,"[23483, 9923, 8292, 190754, 10027, 40022, 9501, 10347, 119283, 17814]"
29,"[1924, 49521, 140607, 127585, 1452, 49529, 8536, 76170, 76757, 9738]"
